53;Côtes de Toul blanc;6
53;Côtes de Toul gris;6
53;Côtes de Toul rouge;6
54;Champagne;4
54;Champagne grand cru;4
54;Champagne premier cru;4
54;Champagne rosé;4
54;Coteaux champenois blanc;4
54;Coteaux champenois rosé;4
54;Coteaux champenois rouge;4
58;Barsac;12
59;Béarn blanc;12
59;Béarn rosé;12
59;Béarn rouge;12
61;Bergerac blanc;19
61;Bergerac rosé;19
61;Bergerac rouge;19
62;Blaye;12
63;Bordeaux blanc;12
63;Bordeaux blanc avec sucres;12
63;Bordeaux clairet;12
63;Bordeaux claret;12
63;Bordeaux rosé;12
63;Bordeaux rouge ou claret;12
65;Bordeaux Haut-Benauge;12
65;Bordeaux Haut-Benauge avec sucres;12
66;Côtes de Bourg, Bourg et Bourgeais blanc;12
66;Côtes de Bourg, Bourg et Bourgeais rouge;12
67;Buzet blanc;19
67;Buzet rosé;19
67;Buzet rouge;19
68;Cadillac;12
70;Canon Fronsac;12
71;Cérons;12
72;Côtes de Blaye;12
73;Côtes de Bordeaux-Saint-Macaire;12
73;Côtes de Bordeaux-Saint-Macaire liquoreux;12
73;Côtes de Bordeaux-Saint-Macaire moelleux;12
75;Côtes de Duras blanc;19
75;Côtes de Duras blanc sec;19
75;Côtes de Duras rosé;19
75;Côtes de Duras rouge;19
77;Fronton rosé;15
77;Fronton rouge;15
80;Côtes du Marmandais blanc;19
80;Côtes du Marmandais rosé;19
80;Côtes du Marmandais rouge;19
81;Entre-deux-Mers;12
82;Entre-deux-Mers Haut-Benauge;12
83;Fronsac;12
84;Gaillac blanc;15
84;Gaillac blanc primeur;15
84;Gaillac doux;15
84;Gaillac méthode ancestrale;15
84;Gaillac méthode ancestrale doux;15
84;Gaillac mousseux;15
84;Gaillac vendanges tardives;15
85;Gaillac premières côtes;15
86;Graves blanc;12
86;Graves rouge;12
86;Graves supérieures;12
87;Graves de Vayres blanc;12
87;Graves de Vayres blanc sec;12
87;Graves de Vayres rouge;12
88;Haut-Médoc;12
90;Irouléguy blanc;12
90;Irouléguy rosé;12
90;Irouléguy rouge;12
91;Jurançon;12
91;Jurançon sec;12
91;Jurançon vendanges tardives;12
92;Lalande-de-Pomerol;12
93;Listrac-Médoc;12
94;Loupiac;12
95;Lussac-Saint-Emilion;12
96;Madiran;12
97;Pacherenc du Vic-Bilh;12
97;Pacherenc du Vic-Bilh sec;12
98;Marcillac rosé;16
98;Marcillac rouge;16
99;Margaux;12
100;Médoc;12
101;Monbazillac;19
101;Monbazillac Sélection de grains nobles;19
102;Montagne-Saint-Emilion;12
103;Montravel blanc;19
103;Montravel rouge;19
104;Moulis ou Moulis-en-Médoc;12
106;Pauillac;12
107;Pécharmant;19
108;Pessac-Léognan blanc;12
108;Pessac-Léognan rouge;12
109;Pomerol;12
111;Premières Côtes de Bordeaux;12
148;Puisseguin-Saint-Emilion;12
149;Rosette;19
150;Saint-Emilion;12
151;Saint-Estèphe;12
152;Saint-Georges-Saint-Emilion;12
153;Saint-Julien;12
154;Sainte-Croix-du-Mont;12
155;Sainte-Foy-Bordeaux blanc;12
155;Sainte-Foy-Bordeaux blanc liquoreux;12
155;Sainte-Foy-Bordeaux blanc moelleux;12
155;Sainte-Foy-Bordeaux rouge;12
157;Sauternes;12
158;Anjou blanc;18
158;Anjou mousseux blanc;18
158;Anjou mousseux rosé;18
158;Anjou rouge;18
158;Cabernet d'Anjou nouveau ou primeur;18
158;Cabernet d'Anjou;18
158;Rosé d'Anjou;18
158;Rosé d'Anjou nouveau ou primeur;18
159;Anjou gamay;8
159;Anjou gamay nouveau ou primeur;8
160;Anjou-Coteaux de la Loire;8
161;Anjou Villages;8
162;Bonnezeaux;8
163;Bourgueil rosé;9
163;Bourgueil rouge;9
165;Chinon blanc;9
165;Chinon rosé;9
165;Chinon rouge;9
166;Coteaux de l'Aubance;8
166;Coteaux de l'Aubance Sélection de grains nobles;8
167;Coteaux de Saumur;18
168;Coteaux du Layon;8
168;Coteaux du Layon Sélection de grains nobles;8
169;Coteaux du Layon Beaulieu-sur-Layon ou Beaulieu;8
169;Coteaux du Layon Beaulieu-sur-Layon ou Beaulieu Sélection de grains nobles;8
171;Coteaux du Layon Faye-d'Anjou ou Faye;8
171;Coteaux du Layon Faye-d'Anjou ou Faye Sélection de grains nobles;8
172;Coteaux du Layon Rablay-sur-Layon ou Rablay;8
172;Coteaux du Layon Rablay-sur-Layon ou Rablay Sélection de grains nobles;8
173;Coteaux du Layon Rochefort-sur-Loire ou Rochefort;8
173;Coteaux du Layon Rochefort-sur-Loire ou Rochefort Sélection de grains nobles;8
174;Coteaux du Layon Saint-Aubin-de-Luigné ou Saint-Aubin;8
174;Coteaux du Layon Saint-Aubin-de-Luigné ou Saint-Aubin Sélection de grains nobles;8
175;Coteaux du Layon Saint-Lambert-du-Lattay ou Saint-Lambert;8
175;Coteaux du Layon Saint-Lambert-du-Lattay ou Saint-Lambert Sélection de grains nobles;8
176;Coteaux du Loir blanc;8
176;Coteaux du Loir rosé;8
176;Coteaux du Loir rouge;8
178;Crémant de Loire blanc;18
178;Crémant de Loire rosé;18
179;Jasnières;8
180;Menetou-Salon blanc;9
180;Menetou-Salon rosé;9
180;Menetou-Salon rouge;9
191;Montlouis-sur-Loire;9
191;Montlouis-sur-Loire mousseux;9
191;Montlouis-sur-Loire pétillant;9
194;Muscadet Côtes de Grandlieu;8
194;Muscadet Côtes de Grandlieu sur lie;8
195;Muscadet Sèvre et Maine;8
195;Muscadet Sèvre et Maine sur lie;8
196;Pouilly-Fumé ou Blanc Fumé de Pouilly;10
196;Pouilly-sur-Loire;10
197;Quarts de Chaume;8
198;Quincy;9
199;Reuilly blanc;9
199;Reuilly rosé;9
199;Reuilly rouge;9
200;Rosé de Loire;18
201;Saint-Nicolas-de-Bourgueil rosé;9
201;Saint-Nicolas-de-Bourgueil rouge;9
202;Sancerre blanc;9
202;Sancerre rosé;9
202;Sancerre rouge;9
203;Saumur blanc;18
204;Saumur rouge;18
205;Saumur mousseux blanc;18
205;Saumur mousseux rosé;18
206;Savennières;8
206;Savennières demi-sec;8
206;Savennières moelleux ou doux;8
208;Savennières Roche aux Moines;8
208;Savennières Roche aux Moines moelleux ou doux;8
210;Touraine Amboise blanc;9
210;Touraine Amboise rosé;9
210;Touraine Amboise rouge;9
211;Touraine Azay-le-Rideau blanc;9
211;Touraine Azay-le-Rideau rosé;9
214;Vouvray;9
214;Vouvray mousseux;9
214;Vouvray pétillant;9
215;Saumur-Champigny;8
216;Touraine Noble Joué;9
218;Anjou Villages Brissac;8
219;Coteaux du Giennois blanc;10
219;Coteaux du Giennois rosé;10
219;Coteaux du Giennois rouge;10
220;Aloxe-Corton;10
220;Aloxe-Corton rouge;10
221;Aloxe-Corton premier cru Clos des Maréchaudes blanc;10
221;Aloxe-Corton premier cru Clos des Maréchaudes rouge;10
222;Aloxe-Corton premier cru Clos du Chapitre blanc;10
222;Aloxe-Corton premier cru Clos du Chapitre rouge;10
223;Aloxe-Corton premier cru La Coutière blanc;10
223;Aloxe-Corton premier cru La Coutière rouge;10
224;Aloxe-Corton premier cru La Maréchaude blanc;10
224;Aloxe-Corton premier cru La Maréchaude rouge;10
225;Aloxe-Corton premier cru La Toppe au Vert blanc;10
225;Aloxe-Corton premier cru La Toppe au Vert rouge;10
226;Aloxe-Corton premier cru Les Chaillots blanc;10
226;Aloxe-Corton premier cru Les Chaillots rouge;10
227;Aloxe-Corton premier cru Les Fournières blanc;10
227;Aloxe-Corton premier cru Les Fournières rouge;10
