aoc-6;Cotes de Toul gris;6
aoc-7;Cotes de Toul rouge;6
aoc-8;Champagne;4
aoc-9;Champagne grand cru;4
aoc-10;Champagne premier cru;4
aoc-11;Champagne rose;4
aoc-12;Coteaux champenois blanc;4
aoc-13;Coteaux champenois rose;4
aoc-14;Coteaux champenois rouge;4
aoc-15;Barsac;12
aoc-16;Bearn blanc;12
aoc-17;Bearn rose;12
aoc-18;Bearn rouge;12
aoc-19;Bergerac blanc;19
aoc-20;Bergerac rose;19
aoc-21;Bergerac rouge;19
aoc-22;Blaye;12
aoc-23;Bordeaux blanc;12
aoc-24;Bordeaux blanc avec sucres;12
aoc-25;Bordeaux clairet;12
aoc-26;Bordeaux claret;12
aoc-27;Bordeaux rose;12
aoc-28;Bordeaux rouge ou claret;12
aoc-29;Bordeaux Haut-Benauge;12
aoc-30;Bordeaux Haut-Benauge avec sucres;12
aoc-31;Cotes de Bourg, Bourg et Bourgeais blanc;12
aoc-32;Cotes de Bourg, Bourg et Bourgeais rouge;12
aoc-33;Buzet blanc;19
aoc-34;Buzet rose;19
aoc-35;Buzet rouge;19
aoc-36;Cadillac;12
aoc-37;Canon Fronsac;12
aoc-38;Cerons;12
aoc-39;Cotes de Blaye;12
aoc-40;Cotes de Bordeaux-Saint-Macaire;12
aoc-41;Cotes de Bordeaux-Saint-Macaire liquoreux;12
aoc-42;Cotes de Bordeaux-Saint-Macaire moelleux;12
aoc-43;Cotes de Duras blanc;19
aoc-44;Cotes de Duras blanc sec;19
aoc-45;Cotes de Duras rose;19
aoc-46;Cotes de Duras rouge;19
aoc-47;Fronton rose;15
aoc-48;Fronton rouge;15
aoc-49;Cotes du Marmandais blanc;19
aoc-50;Cotes du Marmandais rose;19
aoc-51;Cotes du Marmandais rouge;19
aoc-52;Entre-deux-Mers;12
aoc-53;Entre-deux-Mers Haut-Benauge;12
aoc-54;Fronsac;12
aoc-55;Gaillac blanc;15
aoc-56;Gaillac blanc primeur;15
aoc-57;Gaillac doux;15
aoc-58;Gaillac methode ancestrale;15
aoc-59;Gaillac methode ancestrale doux;15
aoc-60;Gaillac mousseux;15
aoc-61;Gaillac vendanges tardives;15
aoc-62;Gaillac premieres cotes;15
aoc-63;Graves blanc;12
aoc-64;Graves rouge;12
aoc-65;Graves superieures;12
aoc-66;Graves de Vayres blanc;12
aoc-67;Graves de Vayres blanc sec;12
aoc-68;Graves de Vayres rouge;12
aoc-69;Haut-Medoc;12
aoc-70;Irouleguy blanc;12
aoc-71;Irouleguy rose;12
aoc-72;Irouleguy rouge;12
aoc-73;Jurançon;12
aoc-74;Jurançon sec;12
aoc-75;Jurançon vendanges tardives;12
aoc-76;Lalande-de-Pomerol;12
aoc-77;Listrac-Medoc;12
aoc-78;Loupiac;12
aoc-79;Lussac-Saint-Emilion;12
aoc-80;Madiran;12
aoc-81;Pacherenc du Vic-Bilh;12
aoc-82;Pacherenc du Vic-Bilh sec;12
aoc-83;Marcillac rose;16
aoc-84;Marcillac rouge;16
aoc-85;Margaux;12
aoc-86;Medoc;12
aoc-87;Monbazillac;19
aoc-88;Monbazillac Selection de grains nobles;19
aoc-89;Montagne-Saint-Emilion;12
aoc-90;Montravel blanc;19
aoc-91;Montravel rouge;19
aoc-92;Moulis ou Moulis-en-Medoc;12
aoc-93;Pauillac;12
aoc-94;Pecharmant;19
aoc-95;Pessac-Leognan blanc;12
aoc-96;Pessac-Leognan rouge;12
aoc-97;Pomerol;12
aoc-98;Premieres Cotes de Bordeaux;12
aoc-99;Puisseguin-Saint-Emilion;12
aoc-100;Rosette;19
aoc-101;Saint-Emilion;12
aoc-102;Saint-Estephe;12
aoc-103;Saint-Georges-Saint-Emilion;12
aoc-104;Saint-Julien;12
aoc-105;Sainte-Croix-du-Mont;12
aoc-106;Sainte-Foy-Bordeaux blanc;12
aoc-107;Sainte-Foy-Bordeaux blanc liquoreux;12
aoc-108;Sainte-Foy-Bordeaux blanc moelleux;12
aoc-109;Sainte-Foy-Bordeaux rouge;12
aoc-110;Sauternes;12
aoc-111;Anjou blanc;18
aoc-112;Anjou mousseux blanc;18
aoc-113;Anjou mousseux rose;18
aoc-114;Anjou rouge;18
aoc-115;Cabernet d'Anjou nouveau ou primeur;18
aoc-116;Cabernet d'Anjou;18
aoc-117;Rose d'Anjou;18
aoc-118;Rose d'Anjou nouveau ou primeur;18
aoc-119;Anjou gamay;8
aoc-120;Anjou gamay nouveau ou primeur;8
aoc-121;Anjou-Coteaux de la Loire;8
aoc-122;Anjou Villages;8
aoc-123;Bonnezeaux;8
aoc-124;Bourgueil rose;9
aoc-125;Bourgueil rouge;9
aoc-126;Chinon blanc;9
aoc-127;Chinon rose;9
aoc-128;Chinon rouge;9
aoc-129;Coteaux de l'Aubance;8
aoc-130;Coteaux de l'Aubance Selection de grains nobles;8
aoc-131;Coteaux de Saumur;18
aoc-132;Coteaux du Layon;8
aoc-133;Coteaux du Layon Selection de grains nobles;8
aoc-134;Coteaux du Layon Beaulieu-sur-Layon ou Beaulieu;8
aoc-135;Coteaux du Layon Beaulieu-sur-Layon ou Beaulieu Selection de grains nobles;8
aoc-136;Coteaux du Layon Faye-d'Anjou ou Faye;8
aoc-137;Coteaux du Layon Faye-d'Anjou ou Faye Selection de grains nobles;8
aoc-138;Coteaux du Layon Rablay-sur-Layon ou Rablay;8
aoc-139;Coteaux du Layon Rablay-sur-Layon ou Rablay Selection de grains nobles;8
aoc-140;Coteaux du Layon Rochefort-sur-Loire ou Rochefort;8
aoc-141;Coteaux du Layon Rochefort-sur-Loire ou Rochefort Selection de grains nobles;8
aoc-142;Coteaux du Layon Saint-Aubin-de-Luigne ou Saint-Aubin;8
aoc-143;Coteaux du Layon Saint-Aubin-de-Luigne ou Saint-Aubin Selection de grains nobles;8
aoc-144;Coteaux du Layon Saint-Lambert-du-Lattay ou Saint-Lambert;8
aoc-145;Coteaux du Layon Saint-Lambert-du-Lattay ou Saint-Lambert Selection de grains nobles;8
aoc-146;Coteaux du Loir blanc;8
